label,n_queries,precision_at_k,recall_at_k,is_macro_row
statistical,18,0.6000000000000001,0.8333333333333334,False
covid19,12,0.5666666666666667,0.75,False
gene expression,11,0.49090909090909096,0.8181818181818182,False
culture,7,0.5142857142857143,0.7142857142857143,False
medical imaging,7,0.6571428571428571,0.8571428571428571,False
infectious diseases,6,0.7666666666666666,0.8333333333333334,False
machine learning,5,0.64,0.8,False
inflammation,5,0.52,0.8,False
__ALL__,71,0.5859154929577465,0.8028169014084507,True
